Id,smiles,sol_category
EOS9255,Cc1ccc(-n2cccn2)c(CN2CC[C@H]3OCc4cnnn4[C@H]3C2)c1,2
EOS95371,CNC(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)OCCCO2)C(C)C,2
EOS10973,Cc1c(C#N)c2ccccc2n1CC(=O)N[C@@H]1COCC[C@@H]1OCCO,2
EOS73498,CCN(CC)S(=O)(=O)c1ccc(=O)n(CC(=O)Nc2ccc3c(c2)NC(=O)[C@H](C)O3)c1,2
EOS40458,Cc1ccc(C(=O)NC[C@@H](C2CCCCC2)N(C)C)c(=O)[nH]1,2
EOS96059,CCC(=O)c1ccc(OCC(=O)Nc2cccc(C(=O)NC3CC3)c2)cc1,1
EOS53233,Cl.O=S(=O)(N[C@@H](CN1CCOCC1)c1ccccc1)c1cccc(F)c1,2
EOS45546,CN1N=C(C(=O)N2CCC[C@H]2c2nnc3ccccn23)CCC1=O,2
EOS86743,Cc1nn(-c2ccccc2)c(C)c1NC(=O)c1ccnn1C,2
EOS8670,COCc1noc(CNC(=O)C2CC(=O)N(c3ccc(C(C)C)cc3)C2)n1,2
EOS70144,C[C@@H](c1ccncc1)N(C)S(=O)(=O)CCCC#N,2
EOS9753,CC(C)n1cc(NC(=O)NC2CN(C)S(=O)(=O)c3ccsc32)nn1,2
EOS55949,CC(C)[C@H](NC(=O)c1cccc(=O)[nH]1)c1cccc(C(F)(F)F)c1,2
EOS1701,COc1ccc(NC(=O)c2nnc(COCC(=O)NC3CC3)s2)cc1,2
EOS77061,CCc1cccc2c1N(S(=O)(=O)c1ccc(CNC(C)=O)s1)CC2,2
EOS12286,Cc1nc(N2CCN(C(=O)Nc3ccc(F)cc3F)CC2)cc(-n2ccnc2)n1,0
EOS95147,Cc1cc(C(N)=O)ccc1NC(=O)NCCSCc1cccs1,2
EOS11922,Cc1ccc(OCCCN2CC(C)OC(C)C2)cc1C,2
EOS8176,CO[C@@]12CC[C@@H](OCC3CC3)C[C@@H]1N(C(=O)c1ccn3nnnc3c1)CC2,2
EOS25785,O=C(CCS(=O)(=O)c1ccc2c(c1)CCN2C(=O)C1CC1)Nc1ccc(F)cc1,2
EOS22041,CCCc1cc(=O)n2nc(N3CCC(C(=O)NCCc4cccs4)CC3)sc2n1,2
EOS68176,Cc1c(C(=O)Nc2nnc3ccccn23)cnn1-c1ccccc1F,2
EOS48872,COc1cccc2c1CN(C(=O)[C@@H]1CCS(=O)(=O)c3ccccc31)C2,2
EOS66972,CCS(=O)(=O)N1CCC(NC(=O)[C@H](C)OCC(C)C)CC1,2
EOS56712,O=S(=O)(N[C@@H]1[C@H]2COC[C@H]21)c1sc2ccccc2c1Cl,2
EOS29079,CCC(=O)N1CCc2cc(N3CC(C(=O)Nc4cccc(OC)c4)CC3=O)ccc21,2
EOS89152,CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2cc(C(C)(C)C)n[nH]2)cc1,1
EOS18881,COc1cc(OC)c2c(C)c(CC(=O)NCc3ccccc3)c(=O)oc2c1,2
