Id,smiles,sol_category
EOS12286,Cc1nc(N2CCN(C(=O)Nc3ccc(F)cc3F)CC2)cc(-n2ccnc2)n1,0
EOS85869,CCN(CC)[C@H]1CCN(C(=O)Cc2nc(C(C)C)c(C)s2)C1,0
EOS85435,CNC(=O)CNC(=O)c1c(-n2cccc2)sc(C)c1C,0
EOS102302,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,0
EOS64213,CC[C@H](NC(=O)c1ccnc(-n2ccnc2)c1)c1ccccc1OC,0
EOS68602,Cn1c(SCC(=O)Nc2ccccc2F)nnc1-c1ccncc1,0
EOS90323,CCN(Cc1ccc2c(c1)OCO2)C(=O)C1=NN([C@H]2CCS(=O)(=O)C2)C(=O)CC1,0
EOS4636,COc1ccc(CN2C[C@@H]3CC[C@H](C2)N(Cc2ccccc2)C3=O)cc1O,0
EOS72860,C[C@@H]1Oc2ccc(NC(=O)COCc3nc4ccccc4s3)cc2NC1=O,0
EOS18993,COc1cccc(-c2nc3n(c2C(=O)Nc2ccc4c(c2)OCO4)CCS3(=O)=O)c1,0
EOS47744,C[C@H]1CCCN1S(=O)(=O)N(C)c1ccc(O)cc1,0
EOS70302,O=C(Nc1ccccc1OCC1CC1)N1CCCC[C@@H]1CN1CCOCC1,0
EOS84678,FC(F)(F)c1c[nH]c(NCc2ccccc2Cl)n1,0
EOS67976,CCOc1cccc2c1OCC(C(=O)NS(=O)(=O)Cc1ccc(F)cc1)=C2,0
EOS48390,O=C(Nc1ccnn1-c1cccc(F)c1)c1ccnc(-n2cncn2)c1,0
EOS84428,Cc1ccc2c(c1)NC(=O)[C@]2(O)CC(=O)c1cccs1,0
EOS23838,O=C(CN1C(=O)CSc2ccc(S(=O)(=O)N3CCOCC3)cc21)NCc1ccccc1,0
EOS23248,CCOc1ccc(NC(=O)c2ccc(-n3cnnn3)cc2)cc1,0
EOS12014,COc1ccc(OC)c(N(CC(=O)Nc2cccnc2)S(=O)(=O)c2ccc(OC)c(OC)c2)c1,0
EOS70996,COc1ccc(OC)c([C@@H]2CCCN2S(=O)(=O)c2ccccc2C#N)c1,0
EOS86630,COCCn1cc(NC(=O)N2CCN(Cc3cc(C)no3)CC2)cn1,0
EOS101681,COc1c(C)cc(NC(=O)c2nn(Cc3ccc(F)cc3)c3c2CN(C(=O)c2ccc[nH]2)C[C@]3(C)C(N)=O)cc1C,0
EOS76444,CC(=O)c1ccc(CNC(=O)C#Cc2ccccc2)nc1C,0
EOS317,O=C(c1cccc(N2CCCCS2(=O)=O)c1)N1CCc2ccccc21,0
EOS19869,CCN(CC)C(=O)c1ccc2c(c1)CC(=O)N2Cc1cccc(F)c1,0
EOS26424,CCCn1cc(C(=O)Nc2ccc3c(c2)OCCO3)c(=O)c2ccc(C)nc21,0
EOS12820,COc1ccc2[nH]c(SCC(=O)N3CCOCC3)nc2c1,0
EOS100258,CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1,0
EOS62095,O=C(Nc1ccc(OC2CCCC2)nc1)[C@@H]1CCCc2[nH]ncc21,0
EOS49570,Cc1ccccc1[C@@H](NS(=O)(=O)C1CCS(=O)(=O)CC1)C1CC1,0
EOS55935,COc1cc(OC)c(NC(=O)c2cc(=O)n(-c3ccc(C)cc3)[nH]2)cc1F,0
EOS4688,COc1cccc(C(=O)N2CCN(C(=O)[C@@H]3CCCN3C(C)=O)CC2)c1,0
EOS14843,CC(Cc1ccccc1)[n+]1[cH-]/c(=N\C(N)=O)on1,0
EOS72732,CCCN(Cc1ccc(C#N)cc1)[C@H]1CCS(=O)(=O)C1,0
EOS86828,C[C@@H](c1ccccc1)N1CCN(C(=O)Cn2cnn(C)c2=O)CC1,0
EOS50535,CN(C)CCCOC1CCN(c2ccnc3c(F)cccc23)CC1,0
EOS101685,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,0
EOS2424,COc1ccc(Cl)cc1NC(=O)N1CCN(c2cc(N(C)C)nc(C)n2)CC1,0
EOS74181,CCn1cnnc1[C@H]1CCCN(C(=O)Nc2ccc(C)c(Cl)c2)C1,0
EOS29352,Cc1cc(=O)n(CC(=O)N2CCN(c3ccccc3F)CC2)c(-c2ccc(F)cc2)n1,0
EOS20523,CC(C)N1CCC(OCCCNC(=O)C23CCCC=C2N(C2CCCC2)C(=O)CC3)CC1,0
EOS11203,CCCCNc1ccc(C(=O)N2CCC(Oc3cccnc3)CC2)cn1,0
EOS69500,CNC(=O)C1CN(C(=O)COCC(F)(F)F)C1,0
EOS54740,Cc1c(O)ccc(C(Cc2ccc3ccccc3n2)=NO)c1O,0
EOS24531,CC(C)OCCCNC(=O)C1CCCN(c2ccc(-c3ccccc3)nn2)C1,0
EOS85309,Cc1nnc([C@H](C)N(C)CCCNC(=O)C2CCC2)s1,0
EOS71340,COc1ccc(CC(=O)N2CCCN(c3ccccc3C#N)CC2)cc1,0
EOS73454,CCCc1nc(CN2CCC[C@@H]2Cn2cncn2)cs1,0
EOS95892,O=C(Nc1ccc2c(c1)OC1(CCCC1)O2)N1CCN(C(=O)c2ccco2)CC1,0
EOS71024,COc1cccc(C(=O)N2CCCC[C@H]2c2nc(C)cs2)c1OC,0
EOS20280,CC(C)C[C@H]1C(=O)N2C[C@@H](N(C)C)C[C@H]2CN1C(=O)CCc1nc(-c2ccccc2)no1,0
EOS75115,Cc1noc(C)c1CN1CCC[C@H]1c1cccs1,0
EOS4204,CC(=O)NCCC1CCCCN1S(=O)(=O)c1cc(C)sc1C,0
EOS1080,Cc1ccc(-c2noc(C(=O)N3CCCCC3)n2)cc1S(=O)(=O)Nc1cccnc1,0
EOS71657,O=C(Nc1cc(S(=O)(=O)N2CCOCC2)ccc1O)c1ccccc1OCc1ccccc1,0
EOS30361,CCOCc1nc(C2CCCN(C(=O)c3ccccc3)C2)no1,0
EOS86322,C[C@H]1CCCN(CC(=O)NCc2ccc3c(c2)OCO3)C1,0
EOS47656,CO[C@@H]1C[C@@H](c2ncn[nH]2)N(C(=O)c2cc(C(C)(C)C)n[nH]2)C1,0
EOS84451,CC(=O)N1N=C(c2ccc3c(c2)OCO3)C[C@H]1c1cccc(F)c1,0
EOS68460,CC1CCN(c2nnc(S[C@@H](C(=O)N3CCOCC3)c3ccccc3)n2C2CC2)CC1,0
EOS94000,O=C(Cn1[nH]c(=O)c2ccccc2c1=O)NCCCCOc1ccc(Cl)cc1,0
EOS100419,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,0
EOS53202,CN(Cc1nc2ccccc2c(=O)[nH]1)Cc1ccccc1Br,0
